"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000016714","307982","Nrap"
"ENSRNOG00000050792","84397","Tnfaip6"
"ENSRNOG00000010275","362287","Slc17a9"
"ENSRNOG00000008536","29275","Actc1"
"ENSRNOG00000047606","170929","Bcl2a1"
"ENSRNOG00000016388","316561","Sphkap"
"ENSRNOG00000006224","315833","Klhl31"
"ENSRNOG00000018247","303538","Dhx58"
"ENSRNOG00000012720","306655","Irx4"
"ENSRNOG00000045595","353218","Tnfsf9"
"ENSRNOG00000001128","288689","Tesc"
"ENSRNOG00000020851","502317","Aplp1"
"ENSRNOG00000052219","282838","Gm2a"
"ENSRNOG00000018241","306570","Ank1"
"ENSRNOG00000015857","296370","Ctsa"
"ENSRNOG00000020955","24585","Myl3"
"ENSRNOG00000008942","313891","Pcare"
"ENSRNOG00000017073","313495","Car9"
"ENSRNOG00000028774","498038","Vgll3"
"ENSRNOG00000001300","29659","P2rx4"
"ENSRNOG00000001825","287925","Pkp2"
"ENSRNOG00000013166","84426","Wnt4"
"ENSRNOG00000007062","314397","Rin3"
"ENSRNOG00000014156","296564","Fut7"
"ENSRNOG00000008713","362861","Slc41a2"
"ENSRNOG00000013867","25317","Fgf1"
"ENSRNOG00000028650","362790","Inf2"
"ENSRNOG00000017448","686809","Exoc3l2"
"ENSRNOG00000020346","293735","Best1"
"ENSRNOG00000019851","25278","Cox6a2"
"ENSRNOG00000026060","307404","Arsi"
"ENSRNOG00000009076","296349","Ttpal"
"ENSRNOG00000000987","304278","Ptcd1"
"ENSRNOG00000013994","85496","Enpp1"
"ENSRNOG00000021013","81802","Stx3"
"ENSRNOG00000012164","300443","Plppr2"
"ENSRNOG00000014030","308709","Synm"
"ENSRNOG00000008365","100361765","Hoxb2"
"ENSRNOG00000021104","81505","Emp3"
"ENSRNOG00000005126","298906","Slc66a3"
"ENSRNOG00000025274","294673","Hexb"
"ENSRNOG00000016731","500450","Tpm2"
"ENSRNOG00000029501","293949","Hoga1"
"ENSRNOG00000030537","360670","Slc26a11"
"ENSRNOG00000013668","297339","Capg"
"ENSRNOG00000047714","245953","Tmem37"
"ENSRNOG00000018371","307351","Tubb6"
"ENSRNOG00000024159","25441","Fcer1g"
"ENSRNOG00000016243","29209","Casq2"
"ENSRNOG00000055365","297504","Edem1"
"ENSRNOG00000023830","171575","Dnase2"
"ENSRNOG00000046607","114491","Cited4"
"ENSRNOG00000002579","286894","Parm1"
"ENSRNOG00000022859","301229","Trem1"
"ENSRNOG00000003616","289264","Grem2"
"ENSRNOG00000017703","361689","Unc93b1"
"ENSRNOG00000010018","362431","Clec4a3"
"ENSRNOG00000005248","305540","Slc1a4"
"ENSRNOG00000020249","301008","P4htm"
"ENSRNOG00000001943","288135","Retnlg"
"ENSRNOG00000046202","316842","Metrnl"
"ENSRNOG00000012016","266732","Npc1"
"ENSRNOG00000037563","287435","Cd68"
"ENSRNOG00000009594","116490","Snai1"
"ENSRNOG00000030848","363925","Myl2"
"ENSRNOG00000048980","80850","Gng2"
"ENSRNOG00000046005","83792","Scd2"
"ENSRNOG00000006281","103690130","Hoxa3"
"ENSRNOG00000013014","79129","Cyba"
"ENSRNOG00000031930","24331","Cela1"
"ENSRNOG00000031930","366988","Bin2"
"ENSRNOG00000026053","50566","Grem1"
