ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0036120,cellular response to platelet-derived growth factor stimulus,5/132,42/13664,4.98E-05,0.003481133,0.002547286,Fn1/Ptn/Serpine1/Slit2/Spon2,5
GO:0001649,osteoblast differentiation,10/132,218/13664,4.98E-05,0.003481133,0.002547286,Tnn/Lox/Col1a1/Cthrc1/Sfrp2/Snai2/Runx2/Gpnmb/Wnt4/Grem1,10
GO:0050866,negative regulation of cell activation,10/132,219/13664,5.18E-05,0.003481133,0.002547286,Fn1/Enpp3/Trem2/Cd300lf/Cd33/Arg1/Fcgr2b/Gpnmb/Cd300a/Lgals3,10
GO:0031670,cellular response to nutrient,6/132,69/13664,5.28E-05,0.003481133,0.002547286,Col1a1/Ptn/Cdkn2b/Eln/Snai2/Tnc,6
GO:0045806,negative regulation of endocytosis,6/132,69/13664,5.28E-05,0.003481133,0.002547286,Scamp5/Cd300lf/Siglec1/Fcgr2b/Cd300a/Lgals3,6
GO:0071300,cellular response to retinoic acid,6/132,69/13664,5.28E-05,0.003481133,0.002547286,Col1a1/Col1a2/Eln/Ptk7/Tnc/Abca1,6
GO:0060070,canonical Wnt signaling pathway,11/132,268/13664,5.73E-05,0.00368574,0.002697005,Tnn/Col1a1/Cthrc1/Sfrp2/Ptk7/Sdc1/Sfrp4/Snai2/Ror2/Wnt4/Grem1,11
GO:0090287,regulation of cellular response to growth factor stimulus,11/132,273/13664,6.76E-05,0.004105859,0.003004424,Lox/Sfrp2/Cdkn2b/Cadm4/Slit2/Sfrp4/Fst/Runx2/Itga8/Wnt4/Grem1,11
GO:0051928,positive regulation of calcium ion transport,7/132,105/13664,6.94E-05,0.004105859,0.003004424,Cemip/Thy1/Serpine1/Ramp3/Trpv2/Agtr1a/Lgals3,7
GO:0036119,response to platelet-derived growth factor,5/132,45/13664,6.99E-05,0.004105859,0.003004424,Fn1/Ptn/Serpine1/Slit2/Spon2,5
GO:0071295,cellular response to vitamin,5/132,45/13664,6.99E-05,0.004105859,0.003004424,Col1a1/Ptn/Eln/Snai2/Tnc,5
GO:0010324,membrane invagination,6/132,73/13664,7.27E-05,0.004178446,0.003057539,Itgb2/Trem2/Clec7a/Abca1/Fcgr2b/Cd300a,6
GO:0050765,negative regulation of phagocytosis,4/132,24/13664,7.61E-05,0.004285831,0.003136116,Cd300lf/Siglec1/Fcgr2b/Cd300a,4
GO:0035987,endodermal cell differentiation,5/132,46/13664,7.78E-05,0.004291257,0.003140087,Col12a1/Col11a1/Fn1/Mmp14/Itgb2,5
GO:0045576,mast cell activation,6/132,75/13664,8.46E-05,0.004496545,0.003290304,Thy1/Enpp3/Serpine1/Stxbp2/Cd300lf/Cd300a,6
GO:0071216,cellular response to biotic stimulus,11/132,280/13664,8.48E-05,0.004496545,0.003290304,Fn1/Serpine1/Trem2/Clec7a/Scarb1/Abca1/Arg1/Spon2/Plau/Fcgr2b/Cd68,11
GO:0071774,response to fibroblast growth factor,7/132,110/13664,9.33E-05,0.004757613,0.003481339,Col1a1/Serpine1/Eln/Snai2/Tnc/Runx2/Wnt4,7
GO:0031960,response to corticosteroid,11/132,283/13664,9.33E-05,0.004757613,0.003481339,Fn1/Slit3/Serpine1/Eln/Sdc1/Slit2/Sfrp4/Ctsb/Asns/Agtr1a/Arg1,11
GO:0060326,cell chemotaxis,11/132,285/13664,9.93E-05,0.004944664,0.003618211,Lox/Ccn3/Ptn/Serpine1/Slit2/Adam8/Itgb2/Agtr1a/Slamf9/Grem1/Lgals3,11
GO:0002687,positive regulation of leukocyte migration,8/132,150/13664,0.000102204,0.004944664,0.003618211,Thy1/Plvap/Ptn/Serpine1/Mmp14/Adam8/Trem2/Lgals3,8
GO:0030336,negative regulation of cell migration,11/132,286/13664,0.000102442,0.004944664,0.003618211,Tnn/Thy1/Sfrp2/Ccn3/Ptn/Serpine1/Slit2/Acan/Cd300a/Wnt4/Grem1,11
GO:0090025,regulation of monocyte chemotaxis,4/132,26/13664,0.000105487,0.004989197,0.003650798,Ccn3/Serpine1/Slit2/Grem1,4
GO:0022612,gland morphogenesis,8/132,151/13664,0.000107056,0.004989197,0.003650798,Ptn/Slit2/Sfrp4/Snai2/Tnc/Arg1/Plau/Wnt4,8
GO:0002548,monocyte chemotaxis,5/132,50/13664,0.000116585,0.005252145,0.003843207,Ccn3/Serpine1/Slit2/Grem1/Lgals3,5
GO:0009620,response to fungus,5/132,50/13664,0.000116585,0.005252145,0.003843207,Cotl1/Ptx3/Clec7a/Arg1/Spon2,5
GO:0033688,regulation of osteoblast proliferation,4/132,27/13664,0.00012291,0.005379456,0.003936366,Tnn/Cthrc1/Hpse/Grem1,4
GO:0001704,formation of primary germ layer,7/132,115/13664,0.000123391,0.005379456,0.003936366,Col12a1/Col11a1/Sfrp2/Fn1/Mmp14/Itgb2/Itga8,7
